Question ID,Question Text,Category,Tag,N Responses,Avg Agreement (All),Median Agreement (All),Proportion Positive Sentiment,Proportion Negative Sentiment,All (Frequency),Do you feel like you understand yourself better after participating in this conversation?: -- (Frequency),Do you feel like you understand yourself better after participating in this conversation?: Maybe a little (Frequency),Do you feel like you understand yourself better after participating in this conversation?: No (Frequency),Do you feel like you understand yourself better after participating in this conversation?: Yes (Frequency),"Do you feel you were able to fully express your views on your culture, your values, and what you want for the future in this conversation? (through what you responded and how you voted): -- (Frequency)","Do you feel you were able to fully express your views on your culture, your values, and what you want for the future in this conversation? (through what you responded and how you voted): Mostly – I was able to mostly express my views on these topics, but did not have the chance to express a few things. (Frequency)","Do you feel you were able to fully express your views on your culture, your values, and what you want for the future in this conversation? (through what you responded and how you voted): No – I was unable to express my views on these topics, and did not have the chance to express most things. (Frequency)","Do you feel you were able to fully express your views on your culture, your values, and what you want for the future in this conversation? (through what you responded and how you voted): Somewhat – I was able to somewhat express my views on these topics, but did not have the chance to express many things. (Frequency)","Do you feel you were able to fully express your views on your culture, your values, and what you want for the future in this conversation? (through what you responded and how you voted): Yes – I was able to fully express my views on these topics (Frequency)",How old are you?: 18-25 (Frequency),How old are you?: 26-35 (Frequency),How old are you?: 36-45 (Frequency),How old are you?: 46-55 (Frequency),How old are you?: 56-65 (Frequency),How old are you?: 65+ (Frequency),How old are you?: Less than 18 (Frequency),"Overall, would you say the increased use of artificial intelligence (AI) in daily life makes you feel…: Equally concerned and excited (Frequency)","Overall, would you say the increased use of artificial intelligence (AI) in daily life makes you feel…: More concerned than excited (Frequency)","Overall, would you say the increased use of artificial intelligence (AI) in daily life makes you feel…: More excited than concerned (Frequency)",Please select your preferred language:: Arabic (Frequency),Please select your preferred language:: Chinese (China) (Frequency),Please select your preferred language:: English (Frequency),Please select your preferred language:: French (Frequency),Please select your preferred language:: Hindi (Frequency),Please select your preferred language:: Portuguese (Frequency),Please select your preferred language:: Russian (Frequency),Please select your preferred language:: Spanish (Frequency),What best describes where you live?: Rural (Frequency),What best describes where you live?: Suburban (Frequency),What best describes where you live?: Urban (Frequency),What is your gender?: Female (Frequency),What is your gender?: Male (Frequency),What is your gender?: Non-binary (Frequency),What is your gender?: Other / prefer not to say (Frequency),What religious group or faith do you most identify with?: Buddhism (Frequency),What religious group or faith do you most identify with?: Christianity (Frequency),What religious group or faith do you most identify with?: Hinduism (Frequency),What religious group or faith do you most identify with?: I do not identify with any religious group or faith (Frequency),What religious group or faith do you most identify with?: Islam (Frequency),What religious group or faith do you most identify with?: Judaism (Frequency),What religious group or faith do you most identify with?: Other religious group (Frequency),What religious group or faith do you most identify with?: Sikhism (Frequency),Would these things experts believe could help people make a positive difference in your life?: -- (Frequency),Would these things experts believe could help people make a positive difference in your life?: Maybe – these things might make some positive difference in my life (Frequency),Would these things experts believe could help people make a positive difference in your life?: No – these things won’t really make any difference in my life (Frequency),Would these things experts believe could help people make a positive difference in your life?: Yes – these things would definitely make a large positive difference in my life (Frequency)
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,What are the first decisions in your life that you would delegate to an AI?,Health and Wellness,Meal planning and nutrition,121,0.5450,0.5500,0.1488,0.0000,121,10,41,9,61,10,27,0,5,79,45,52,15,5,3,1,0,68,12,41,0,3,97,0,0,3,3,15,13,31,77,65,56,0,0,4,36,14,45,14,6,2,0,0,49,1,71
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,What are the first decisions in your life that you would delegate to an AI?,Health and Wellness,Medical diagnostics and treatment planning,44,0.5164,0.5250,0.0455,0.0000,44,4,17,1,22,4,11,0,2,27,10,20,9,5,0,0,0,31,2,11,0,2,39,0,0,0,0,3,4,14,26,25,18,1,0,1,21,4,13,5,0,0,0,0,18,1,25
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,What are the first decisions in your life that you would delegate to an AI?,Health and Wellness,Physical fitness and exercise routines,30,0.5497,0.5600,0.1667,0.0000,30,4,11,1,14,4,8,1,0,17,12,13,4,1,0,0,0,20,2,8,1,0,25,0,0,0,0,4,4,9,17,14,16,0,0,1,8,4,9,8,0,0,0,0,13,1,16
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,What are the first decisions in your life that you would delegate to an AI?,Home and Lifestyle Automation,Home automation and smart technology integration,54,0.5520,0.5600,0.1111,0.0000,54,6,13,2,33,6,7,1,3,37,20,16,9,7,2,0,0,30,2,22,0,7,40,0,0,4,0,3,9,12,33,24,28,2,0,2,18,9,18,4,0,3,0,0,16,2,36
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,What are the first decisions in your life that you would delegate to an AI?,Home and Lifestyle Automation,Household chores automation,105,0.5167,0.5200,0.0857,0.0190,105,10,31,7,57,10,30,0,6,59,34,41,14,10,4,1,1,62,12,31,0,12,74,1,0,4,2,12,7,29,69,61,41,3,0,3,35,14,39,12,0,2,0,0,50,6,49
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,What are the first decisions in your life that you would delegate to an AI?,Home and Lifestyle Automation,Legal and administrative task assistance,28,0.5318,0.5300,0.1071,0.0357,28,3,13,2,10,3,9,0,0,16,7,15,2,3,1,0,0,16,1,11,1,1,22,1,0,0,1,2,4,5,19,10,17,1,0,0,9,3,11,4,1,0,0,0,10,1,17
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,What are the first decisions in your life that you would delegate to an AI?,Home and Lifestyle Automation,Routine task automation,131,0.5533,0.5600,0.0916,0.0687,131,9,35,7,80,9,29,0,5,88,42,61,20,6,1,1,0,69,9,53,0,15,94,2,0,5,1,14,4,38,89,55,75,1,0,7,40,17,45,16,3,3,0,0,48,2,81
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,What are the first decisions in your life that you would delegate to an AI?,Home and Lifestyle Automation,Shopping and style recommendations,41,0.5273,0.5400,0.1463,0.0000,41,3,16,3,19,3,16,0,1,21,16,19,4,2,0,0,0,24,2,15,1,4,30,0,0,1,1,4,1,10,30,27,14,0,0,2,10,7,15,4,0,2,1,0,22,1,18
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,What are the first decisions in your life that you would delegate to an AI?,Home and Lifestyle Automation,Transportation and navigation,35,0.5291,0.5300,0.0857,0.0000,35,5,13,1,16,5,12,0,0,18,9,20,1,2,1,2,0,12,4,19,0,7,27,0,0,0,0,1,3,11,21,21,13,1,0,1,6,1,20,5,1,1,0,0,20,2,13
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,What are the first decisions in your life that you would delegate to an AI?,Personal Development,Decision-making support in complex scenarios,73,0.5379,0.5500,0.1370,0.0548,73,8,14,0,51,8,15,0,2,48,32,25,9,4,3,0,0,38,10,25,3,4,60,1,0,1,1,3,4,17,52,36,37,0,0,1,27,15,12,16,1,1,0,0,34,2,37
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,What are the first decisions in your life that you would delegate to an AI?,Personal Development,General consulting and problem-solving,41,0.5478,0.5600,0.1220,0.0244,41,3,13,1,24,3,9,0,1,28,12,19,6,4,0,0,0,28,4,9,0,4,31,0,0,2,2,2,3,9,29,22,19,0,0,0,12,10,8,8,2,1,0,0,21,0,20
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,What are the first decisions in your life that you would delegate to an AI?,Personal Development,Research and data analysis,91,0.5401,0.5500,0.0769,0.0000,91,10,24,2,55,10,19,0,6,56,30,40,14,4,1,2,0,58,3,30,0,15,63,0,0,1,4,8,3,22,66,47,44,0,0,3,47,8,26,5,1,1,0,0,40,3,48
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,What are the first decisions in your life that you would delegate to an AI?,Personal Development,Time and schedule management,156,0.5607,0.5600,0.1282,0.0000,156,19,45,6,86,19,31,1,8,97,51,75,20,10,0,0,0,88,13,55,2,2,129,1,0,5,1,16,10,44,102,67,89,0,0,3,51,29,36,31,3,2,1,0,67,3,86
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,What are the first decisions in your life that you would delegate to an AI?,Safety and Security,Advisory roles in high-risk areas,10,0.5450,0.5500,0.0000,0.0000,10,0,4,0,6,0,3,0,2,5,5,2,1,1,1,0,0,4,1,5,1,1,6,1,0,0,0,1,2,2,6,3,7,0,0,0,3,1,1,5,0,0,0,0,5,2,3
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,What are the first decisions in your life that you would delegate to an AI?,Safety and Security,Personal safety and emergency responses,3,0.4800,0.4800,0.6667,0.0000,3,2,0,0,1,2,0,0,0,1,3,0,0,0,0,0,0,2,0,1,0,0,3,0,0,0,0,0,0,0,3,1,2,0,0,0,1,0,0,2,0,0,0,0,2,0,1
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,What are the first decisions in your life that you would delegate to an AI?,Safety and Security,Safety and security enhancements,11,0.5300,0.5500,0.0909,0.0909,11,2,0,0,9,2,2,0,0,7,3,8,0,0,0,0,0,6,1,4,1,1,8,0,1,0,0,0,0,5,6,4,7,0,0,1,6,2,1,1,0,0,0,0,7,0,4
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,What are the first decisions in your life that you would delegate to an AI?,Uncategorized,Other,177,0.5186,0.5300,0.0678,0.1130,177,16,48,11,102,16,45,3,8,105,67,65,30,7,6,1,1,99,15,63,4,17,141,1,1,5,1,7,22,42,113,95,80,0,2,7,49,18,54,46,2,0,1,0,84,3,90
0f541814-99f4-46bb-8a9a-99332e54a800,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,Uncategorized,Advanced healthcare and longevity,81,0.5169,0.5200,0.1111,0.0000,81,7,24,7,43,7,19,0,4,51,21,33,15,10,0,2,0,41,1,39,1,4,65,1,0,3,5,2,4,24,53,30,50,1,0,5,27,12,22,9,4,2,0,0,30,2,49
0f541814-99f4-46bb-8a9a-99332e54a800,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,Uncategorized,Aging population and healthcare challenges,69,0.5139,0.5200,0.0000,0.0145,69,9,22,4,34,9,26,1,3,30,19,29,10,7,2,1,1,35,2,32,0,11,52,0,0,0,2,4,5,17,47,32,36,0,1,4,22,8,27,5,1,0,2,1,24,0,44
0f541814-99f4-46bb-8a9a-99332e54a800,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,Uncategorized,Changes in daily routines due to technology,36,0.5161,0.5200,0.1389,0.0000,36,7,10,0,19,7,9,0,1,19,14,13,6,3,0,0,0,20,6,10,1,0,32,0,0,1,0,2,2,11,23,15,20,1,0,1,12,7,8,7,0,1,0,0,14,1,21
0f541814-99f4-46bb-8a9a-99332e54a800,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,Uncategorized,Changes in family structures and relationships,12,0.4808,0.4750,0.2500,0.0000,12,1,4,1,6,1,3,0,0,8,1,11,0,0,0,0,0,7,0,5,0,1,9,1,0,1,0,0,2,5,5,11,1,0,0,0,2,2,5,3,0,0,0,0,8,0,4
0f541814-99f4-46bb-8a9a-99332e54a800,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,Uncategorized,Changes in hobbies and leisure activities,1,0.5000,0.5000,0.0000,0.0000,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0f541814-99f4-46bb-8a9a-99332e54a800,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,Uncategorized,"Climate change impacts (extreme weather, hotter summers, colder winters)",197,0.5185,0.5200,0.0152,0.0558,197,23,62,12,100,23,50,0,10,114,82,79,22,12,1,1,0,120,20,57,2,19,150,2,0,5,3,16,10,43,144,110,85,2,0,5,57,21,80,26,5,3,0,3,99,7,88
0f541814-99f4-46bb-8a9a-99332e54a800,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,Uncategorized,Concerns about mental health and well-being,10,0.5040,0.5100,0.0000,0.0000,10,2,3,1,4,2,3,0,0,5,3,5,2,0,0,0,0,7,1,2,0,0,6,0,0,0,0,4,0,2,8,7,3,0,0,0,0,2,6,2,0,0,0,0,4,1,5
0f541814-99f4-46bb-8a9a-99332e54a800,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,Uncategorized,Conservation and sustainability efforts,35,0.5143,0.5200,0.0571,0.0000,35,6,11,3,15,6,5,0,4,20,15,13,6,1,0,0,0,18,1,16,0,5,27,0,0,1,0,2,2,9,24,13,21,1,0,1,12,3,10,7,1,1,0,0,18,0,17
0f541814-99f4-46bb-8a9a-99332e54a800,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,Uncategorized,"Digitalization and online platforms for work, education, and social interactions",25,0.5216,0.5200,0.0800,0.0400,25,7,7,1,10,7,3,0,1,14,8,12,4,1,0,0,0,15,4,6,0,1,21,1,0,0,0,2,4,10,11,15,9,1,0,2,11,5,2,5,0,0,0,0,13,0,12
0f541814-99f4-46bb-8a9a-99332e54a800,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,Uncategorized,Environmental Concerns,342,0.5177,0.5200,0.0175,0.0702,342,46,105,10,181,46,81,0,18,197,120,147,50,17,4,2,2,199,32,111,2,34,261,5,1,11,9,19,23,87,232,180,157,3,2,8,108,46,108,60,5,4,3,5,167,10,160
0f541814-99f4-46bb-8a9a-99332e54a800,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,Uncategorized,Financial stability and retirement planning,38,0.4700,0.4650,0.2105,0.0000,38,4,11,2,21,4,8,0,1,25,18,14,2,4,0,0,0,24,3,11,0,2,30,0,1,1,0,4,3,13,22,18,19,1,0,1,18,3,10,5,0,1,0,0,15,0,23
0f541814-99f4-46bb-8a9a-99332e54a800,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,Uncategorized,Food and water scarcity,108,0.5153,0.5200,0.0093,0.1204,108,23,22,4,59,23,24,0,7,54,44,43,13,6,2,0,0,65,8,35,1,4,78,0,0,2,3,20,7,25,76,62,45,0,1,1,39,19,33,13,1,2,0,1,48,4,55
0f541814-99f4-46bb-8a9a-99332e54a800,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,Uncategorized,Future Uncertainties and Concerns,124,0.4940,0.4900,0.0161,0.1774,124,15,39,5,65,15,35,0,3,71,38,45,22,11,8,0,0,69,21,34,0,5,97,2,0,4,2,14,14,40,70,64,56,2,2,2,46,8,49,18,0,1,0,5,60,10,49
0f541814-99f4-46bb-8a9a-99332e54a800,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,Uncategorized,Global population growth and migration trends,31,0.5210,0.5300,0.0000,0.0000,31,1,9,0,21,1,8,0,0,22,10,15,5,1,0,0,0,18,4,9,0,3,28,0,0,0,0,0,0,8,23,13,18,0,0,1,10,3,6,8,2,1,0,0,13,2,16
0f541814-99f4-46bb-8a9a-99332e54a800,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,Uncategorized,Health and wellness focus,10,0.4890,0.4850,0.4000,0.1000,10,2,0,3,5,2,1,0,0,7,0,4,4,2,0,0,0,6,0,4,0,1,6,0,1,1,0,1,2,2,6,3,7,0,0,2,2,0,4,2,0,0,0,0,4,0,6
0f541814-99f4-46bb-8a9a-99332e54a800,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,Uncategorized,Income inequality and economic instability,83,0.5025,0.5100,0.0000,0.1325,83,10,33,3,37,10,27,0,5,41,33,33,10,3,4,0,0,52,7,24,2,11,54,0,0,4,1,11,5,20,58,42,41,0,0,4,16,12,37,11,0,3,0,1,35,7,40
0f541814-99f4-46bb-8a9a-99332e54a800,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,Uncategorized,Increased reliance on AI and automation in daily tasks and jobs,757,0.5262,0.5300,0.0542,0.0317,757,97,212,18,430,97,194,2,27,437,266,309,114,45,17,4,2,427,58,272,8,69,604,9,0,13,18,36,51,207,499,363,385,6,3,21,241,108,211,147,13,10,6,9,312,15,421
0f541814-99f4-46bb-8a9a-99332e54a800,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,Uncategorized,Job displacement due to technology,128,0.5289,0.5300,0.0234,0.0938,128,19,31,4,74,19,27,1,5,76,41,58,18,9,2,0,0,79,12,37,1,14,104,1,0,2,3,3,9,29,90,56,71,1,0,2,36,21,42,21,4,1,1,2,50,4,72
0f541814-99f4-46bb-8a9a-99332e54a800,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,Uncategorized,Lifestyle and Personal Changes,164,0.4826,0.4700,0.2622,0.0122,164,22,44,11,87,22,39,1,6,96,67,62,19,15,1,0,0,87,21,56,4,8,114,3,3,10,0,22,16,48,100,86,77,1,0,4,67,14,44,31,1,2,1,4,60,8,92
0f541814-99f4-46bb-8a9a-99332e54a800,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,Uncategorized,Personal and professional growth,16,0.4831,0.4800,0.3750,0.0000,16,3,0,1,12,3,4,1,0,8,11,4,0,1,0,0,0,10,3,3,1,1,14,0,0,0,0,0,3,5,8,7,9,0,0,0,8,2,3,2,1,0,0,0,4,1,11
0f541814-99f4-46bb-8a9a-99332e54a800,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,Uncategorized,Pollution and air quality issues,22,0.5159,0.5250,0.0000,0.1818,22,6,4,1,11,6,6,0,1,9,9,9,3,1,0,0,0,15,4,3,0,1,19,0,0,2,0,0,3,5,14,16,6,0,0,1,7,5,2,6,0,0,1,1,12,1,8
0f541814-99f4-46bb-8a9a-99332e54a800,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,Uncategorized,Potential for societal division and isolation,26,0.5162,0.5200,0.0000,0.1538,26,4,9,2,11,4,9,1,0,12,1,11,9,3,1,1,0,11,5,10,1,1,22,0,0,0,2,0,5,4,17,14,12,0,0,0,7,9,6,2,1,0,1,0,15,0,11
0f541814-99f4-46bb-8a9a-99332e54a800,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,Uncategorized,Potential for wars and conflicts over resources,37,0.5119,0.5200,0.0000,0.0270,37,5,15,3,14,5,6,0,3,23,8,19,3,4,2,1,0,23,9,5,0,0,30,0,0,1,2,4,4,11,22,19,17,1,0,0,13,2,13,8,1,0,0,1,21,4,11
0f541814-99f4-46bb-8a9a-99332e54a800,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,Uncategorized,Renewable energy and electric vehicles,97,0.5205,0.5200,0.0309,0.0000,97,13,29,4,51,13,27,0,4,53,34,35,19,7,0,1,1,48,7,42,0,10,78,0,0,3,1,5,7,25,65,33,63,0,1,2,34,8,32,17,2,1,1,0,29,0,68
0f541814-99f4-46bb-8a9a-99332e54a800,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,Uncategorized,Robotics in various sectors,25,0.5340,0.5400,0.0000,0.0000,25,6,12,1,6,6,5,0,2,12,5,14,4,2,0,0,0,10,0,15,0,2,23,0,0,0,0,0,5,5,15,14,10,1,0,1,6,3,8,6,0,1,0,0,9,1,15
