Participant ID,ResponseText,Sentiment,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10
714eb2c8-57bf-47a4-bfa5-e1d049ecd11a,A person who is not known to lie or be hypocritical and who is experienced in some area inspires confidence,Neutral,Experience and wisdom,Honesty and integrity,,,,,,,,
ca5a25f4-a494-476e-869b-789d7c1f2d2e,"A trusted advisor demonstrates empathy, active listening, honesty, and knowledge of the local context. Respect, discretion, and consistency are also essential to building trust.",Positive,Empathy and active listening,Experience and wisdom,Honesty and integrity,Knowledge and expertise,Reliability and consistency,,,,,
f5bfc395-d559-49f5-a970-8781c3b4cf87,"A trusted advisor is someone who combines experience, sound principles and an ability to relate effectively with others.",Positive,Ability to relate to others' experiences,Experience and wisdom,,,,,,,,
5f898eed-00e8-412f-8360-8c0ab5681688,"A trusted advisor is someone who demonstrates a combination of knowledge, values, and interpersonal skills.",Positive,Ability to build strong relationships,Honesty and integrity,Knowledge and expertise,,,,,,,
be24cc51-1822-44b8-9a3d-94c05862809a,"A trustworthy advisor always speaks the truth and acts with transparency, ensuring that their advice is reliable and authentic. Always show genuine care by listening attentively and understanding the concerns of others.",Positive,Commitment to the well-being of others,Empathy and active listening,Honesty and integrity,Transparency and openness,,,,,,
877bb4fa-4b87-4743-99fd-f98fafee28c7,"A trustworthy advisor in Islam is honest, knowledgeable, humble, empathetic, and aligns their advice with Islamic values, ensuring integrity and respect for others’ well-being.",Positive,Empathy and active listening,Honesty and integrity,Knowledge and expertise,Respect for community values,,,,,,
c0e5db77-606f-4054-ac54-4fe4e81cd198,"A trustworthy advisor in my community is someone who demonstrates honesty, reliability, and deep knowledge in their field. They should listen carefully, provide thoughtful advice, and maintain confidentiality. Consistently acting with integrity and showing genuine care for others helps build lasting trust.",Neutral,Confidentiality and privacy,Empathy and active listening,Honesty and integrity,Knowledge and expertise,Reliability and consistency,,,,,
73491626-2425-4eb4-b0db-76dc787bbe24,"A trustworthy advisor in my community is someone who listens attentively, offers honest and transparent advice, respects confidentiality, shows empathy, and consistently follows through on commitments.",Positive,Commitment to the well-being of others,Confidentiality and privacy,Empathy and active listening,Transparency and openness,,,,,,
f9b38092-b419-4b19-82fb-6a6bf7cd1592,"A trustworthy advisor in my community is someone who listens attentively, shows empathy, and offers guidance rooted in experience and wisdom. They demonstrate integrity, consistency, and transparency in their actions. Building trust also involves respecting confidentiality, being patient, and honoring cultural values. Their advice is practical, balanced, and focused on long-term well-being, not self-interest.

",Positive,Confidentiality and privacy,Empathy and active listening,Experience and wisdom,Honesty and integrity,Reliability and consistency,Respect for community values,,,,
32930c65-ecfd-46b6-9d45-3378bdf48dfa,"A trustworthy advisor in my community is someone who listens carefully, shows respect for local traditions, offers honest, well-informed advice, and consistently follows through on promises. They are also empathetic and transparent in their actions.",Positive,Cultural understanding and respect,Empathy and active listening,Honesty and integrity,Reliability and consistency,Transparency and openness,,,,,
68f7de91-17f3-4e4f-bbd0-b4ba56ff88e5,"A trustworthy advisor in my community is someone who listens carefully, speaks honestly, respects others and loyal.",Positive,Empathy and active listening,Honesty and integrity,Reliability and consistency,,,,,,,
7037ddb0-3898-403e-b790-30e3bc77bcb2,"A trustworthy advisor in our community shows:

- Empathy and listening
- Expertise and knowledge
- Objectivity and honesty
- Transparency and follow-through
- Cultural sensitivity
- Humility and openness

They ask informed questions, provide personalized advice, and demonstrate accountability.",Positive,Accountability and responsibility,Cultural understanding and respect,Empathy and active listening,Knowledge and expertise,Patience and understanding,Transparency and openness,Unbiased and objective advice,,,
2f6bb683-5fdd-4d17-bc35-53265b0b8ab1,"A trustworthy advisor is Polite,respectful,accurate,empathetic and lively with lot of suggestions and improvements",Positive,Cultural understanding and respect,Empathy and active listening,Honesty and integrity,,,,,,,
2dcd9a85-f0c1-4eb2-b1af-a3e18e92cc03,"A trustworthy advisor is a person who can separate his or her own personal principles and beliefs from the advice seeker, and understand multiple viewpoints, consider all of them before giving a concluding advice. ",Positive,Ability to provide multiple perspectives,Unbiased and objective advice,,,,,,,,
e147d634-a776-4599-b8c3-a5a35a14ec6f,A trustworthy advisor is honest and has level of integrity,Positive,Honesty and integrity,Moral and ethical behavior,,,,,,,,
6dfd38af-2de4-4c66-86d8-bba2907c9d5a,A trustworthy advisor is one who has built trust with the community by always proving himself by giving accurate suggestions and solving queries of the community on time. He has been there for the community at all times and has spent time with the community.,Positive,Ability to build strong relationships,Proven track record and reputation,Reliability and consistency,,,,,,,
c6d66d34-9007-4d90-89fd-1c72fda3b388,A trustworthy advisor is one who has experience in the field. They should also have a reputation for been honest and willing to go the extra mile to help. Such an individual is also calm and does not make decisions hastily. They are also expected to show some type of high achievements in their lives and daily lifestyle. ,Neutral,Experience and wisdom,Honesty and integrity,Knowledge and expertise,Proven track record and reputation,Supportiveness and helpfulness,,,,,
8d9b6ece-d25e-4009-9cda-6135af3a6c9c,"A trustworthy advisor is one who is very knowledgeable in most matters, a person who possesses wisdom and problem solving skills, the person must not be a conflicting character that is always involved in negative vices like fighting, the person should not be judgemental rather provide concrete advice that help",Neutral,Experience and wisdom,Non-judgmental attitude,Problem-solving skills,,,,,,,
5c1a3466-aa40-4b8a-a3c4-fac028d4defb,"A trustworthy advisor is someone who demonstrates honesty, reliability, and expertise in their field.",Positive,Honesty and integrity,Knowledge and expertise,Reliability and consistency,,,,,,,
0df82488-929a-49e1-9e45-4ef79c83f862,A trustworthy advisor is someone who is honest and shows consistency in their words and actions. They must have compassion as well as be empathetic. They must show humility and admit when they don't know something ,Neutral,Ability to admit mistakes,Empathy and active listening,Honesty and integrity,Reliability and consistency,,,,,,
0a831e4c-9a90-4d01-b99a-e0fdb6e0ace4,"A trustworthy advisor is someone who listens carefully, has experience, and does not share private information with others. The qualities that build trust are a spirit of never doing harm intentionally to others not breaching trust.",Neutral,Confidentiality and privacy,Empathy and active listening,Experience and wisdom,,,,,,,
3c078075-db8c-4d93-9e30-4188022736d3,"A trustworthy advisor is someone whose words are consistent with their actions. When they show that they really practice what they preach. It does not matter how sincere/earnest they sound, if their actions are bad/harmful then they become untrustworthy. ",Neutral,Consistency between words and actions,,,,,,,,,
775d0e02-379a-4b7c-a533-eb440056f4cf,"A trustworthy advisor is successful in their field, has overcome adversity, is honest, and means well.",Positive,Experience and wisdom,Honesty and integrity,Moral and ethical behavior,,,,,,,
27c9bfcf-f31e-414c-a976-769f145fcaa6,"A trustworthy advisor listens actively, respects cultural values, is transparent, consistent, empathetic, and humble. They demonstrate competence, fairness, confidentiality, and empower others to make informed decisions, fostering trust and collaboration within the community.",Positive,Commitment to the well-being of others,Empathy and active listening,Knowledge and expertise,Respect for community values,Transparency and openness,Unbiased and objective advice,,,,
ec017bcb-ff30-4107-a96a-5bbc9f0ad2ef,"A trustworthy advisor provides consistently useful advice in a variety of situations. When the actions of an advisor allow me to feel stable and confident in my decision making, I believe that they are someone that I can trust.",Positive,Reliability and consistency,Trustworthiness over time,,,,,,,,
c9b3bd8e-aac7-46bc-b3af-84721f3a6b47,"A trustworthy advisor should always be transparent, honest, show integrity, should give experience backed advises ",Neutral,Honesty and integrity,Knowledge and expertise,Transparency and openness,,,,,,,
02de2774-6232-4789-8150-3fdd7f6c2e2e,"A trustworthy advisor should be a knowledgeable person with great experience in life. They should be great listeners, should hold respect in the community and hold a respectable position in the community. They should have great decision making skills, communication skills and wisdom.",Neutral,Effective communication skills,Experience and wisdom,Knowledge and expertise,Proven track record and reputation,,,,,,
be25095e-b934-474a-b57d-7a6281211028,A trustworthy advisor would be someone that don't betray the trust of its community (obviously) and have behaviors that are consistent with the ones that would help or assist the community in ways that are conventionally understood.,Neutral,Commitment to the well-being of others,Honesty and integrity,,,,,,,,
b3b3ede6-e265-4bdf-8938-bbd7847fd58f,A trustworthy advisor would be someone who has knowledge and experience and guides us through problems through the best possible approach while considering the community's opinions.,Positive,Experience and wisdom,Knowledge and expertise,Problem-solving skills,Respect for community values,,,,,,
c49da3d9-b749-4ff3-8855-808d4c2d46e9,"A trustworthy advisor would be someone who is carefully listening to your words, gives you space and time and is not judgmental in their advices.",Positive,Empathy and active listening,Non-judgmental attitude,,,,,,,,
aeb7cfc7-d45d-4dbd-b5e1-eca7c75cc5e0,"A trustworthy and helpful person is someone who has studied a lot, has knowledge and respect for others. They behave with empathy.",Positive,Empathy and active listening,Experience and wisdom,Knowledge and expertise,,,,,,,
e51595b0-302c-4237-96d0-2f8ee73d4192,"A trustworthy person is made by feeling, and with time, in order to know the person, that is to say the defects and qualities, how the person behaves with me and others, how he solves problems, if he remains calm or angry in complicated circumstances.",Positive,Other,Trustworthiness over time,,,,,,,,
2f7ef803-1f7d-4dff-8e65-494699f63a87,An advisor is trustworthy when his answers are based on facts that can be proven and not on unfounded or empirically based assumptions.,Positive,Ability to provide factual and evidence-based advice,,,,,,,,,
f3f921cc-c1d2-45de-9102-cac77667f36d,"Becoming trustworthy takes time. To gain trust, you must act fairly, impartially, and wisely over many years.",Neutral,Inclusivity and fairness,Trustworthiness over time,,,,,,,,
ceae18dc-0c97-499b-9b40-5ed524001359,Being known for giving reliable advice and being trustworthy. Not belittling other people. Speaking in a way that everyone can understand. ,Neutral,Effective communication skills,Proven track record and reputation,,,,,,,,
b7f89664-2f7f-4bfd-af40-d250f06a328e,Being trustworthy takes time. It is very difficult to say what behaviours or qualities would make AI more trustworthy,Neutral,Uninformative answer,,,,,,,,,
64befc02-61eb-4109-b541-03f9f4206f40,Good reputation and has a proven track rack record of correct and legitimate answers.,Positive,Honesty and integrity,Proven track record and reputation,,,,,,,,
4318497c-f692-4a85-b7be-58a13bc6e26c,Here in India everybody considers themselves a trustworthy advisor,Positive,Uninformative answer,,,,,,,,,
4a05dd83-9984-4074-90b2-93020b83c166,"Honesty, character and companionship are essential for a person to have trust in another.",Positive,Ability to build strong relationships,Honesty and integrity,,,,,,,,
11e80845-7ee6-459e-ae77-5a73ba16bff5,"Honesty, truthfulness, consistency (and not constantly changing your opinion depending on the situation), education, wisdom, expertise.",Positive,Experience and wisdom,Honesty and integrity,Knowledge and expertise,Reliability and consistency,,,,,,
e99df2dc-7aa5-4171-85cf-9f240a244be9,"I think a trustworthy advisor in my community is someone who demonstrates integrity, competence, reliability, empathy, objectivity, respect, confidentiality, humility, and proactive communication. They are honest, knowledgeable, dependable, and genuinely care about others' wellbeing. They provide unbiased advice, respect privacy, and communicate clearly, building trust through consistent, ethical, and supportive behavior.",Positive,Commitment to the well-being of others,Confidentiality and privacy,Effective communication skills,Empathy and active listening,Honesty and integrity,Knowledge and expertise,Reliability and consistency,Unbiased and objective advice,,
2b2c7cac-0a3c-4147-8a8d-a00a23fe5205,"If a person is honest, and gives advice which is best for us, never do anything that harms us or offends us in any way, is responsible when I give them any task then that person is trustworthy.",Positive,Accountability and responsibility,Commitment to the well-being of others,Honesty and integrity,,,,,,,
fd59bee4-5f60-4387-9204-79cbc74abcb0,"If he has served in a specific role for years then he/she is trustworthy for advice regarding that certain areas. Also confidence, detailed explanation, poised tone, ability to give plenty of examples are considered trustworthy qualities.",Positive,Effective communication skills,Experience and wisdom,Knowledge and expertise,Trustworthiness over time,,,,,,
fc9d4b69-15ef-451b-a180-8b6e823fd64e,"If the advisor is neutral, has integrity and listens to understand the situation. They are trust worthy. They should also direct their client rather than giving them advices based on their personal belief. I mean it's okay to tell the person you are advising about your experience on the same situation. Just ensure you don't encourage them to follow your path. They should decide on their own",Neutral,Honesty and integrity,Non-judgmental attitude,Unbiased and objective advice,,,,,,,
4f6c001f-43d7-46ea-9959-19a0df789ada,If the person provides honest and accurate information in reliable time,Positive,Ability to provide factual and evidence-based advice,Honesty and integrity,Reliability and consistency,,,,,,,
526bfe01-864b-402c-9637-b119392def79,If they don't lie and is open. Listens to what you say and gives advice based on it,Neutral,Empathy and active listening,Honesty and integrity,Transparency and openness,,,,,,,
d9aa93fd-8deb-4238-81ad-35a1072da988,"In Indian community these qualities makes someone a trustworthy advisor, Expertise in it's field and proven by many peoples, He or she has genuine interest in client well being , he or she should honest, can listen patiently.",Positive,Commitment to the well-being of others,Empathy and active listening,Honesty and integrity,Knowledge and expertise,,,,,,
023e3fb3-06c9-4a64-858c-7b029179ac7f,"In Kerala, trusted advisors must demonstrate cultural understanding, honesty, and confidentiality. They should show empathy, maintain strong community connections, and possess relevant expertise. Clear communication, long-term relationship building, and adaptability are crucial. Personal integrity and reputation matter greatly. Key qualities include respecting traditions, being transparent, protecting privacy, showing compassion, staying involved locally, and having proven experience. ",Neutral,Ability to build strong relationships,Confidentiality and privacy,Cultural understanding and respect,Effective communication skills,Empathy and active listening,Honesty and integrity,Knowledge and expertise,Proven track record and reputation,Respect for community values,Transparency and openness
314be8ce-3643-4914-b068-d30ce6a2c98f,"In my community that makes someone a trustworthy advisor is their way of talking, confidence with experiences and right knowledge etc",Positive,Effective communication skills,Experience and wisdom,Knowledge and expertise,,,,,,,
5f0eb47e-4980-4975-a083-2d5955a3c7d0,"In my community, a person building relationships, communicating effectively (especially when giving advice), and interacting genuinely makes him/her a trustworthy advisor.",Positive,Ability to build strong relationships,Effective communication skills,,,,,,,,
c5a220dc-ab74-41ca-b1e3-8377a42c7afb,"In my community, a trusted advisor is usually someone who is experienced, honest, and respectful. They listen, keep their promises and confidentiality, and show problem-solving skills and integrity when dealing with problems.",Positive,Confidentiality and privacy,Empathy and active listening,Experience and wisdom,Honesty and integrity,Problem-solving skills,,,,,
1043e55b-0e53-4fc2-961c-cda1182698a0,"In my community, a trustworthy advisor demonstrates expertise, honesty, and ethical principles. They show empathy by understanding others’ perspectives and provide reliable, consistent guidance. Transparency in their intentions, limitations, and reasoning is crucial, as is active listening to value others' input. These behaviors build confidence and trust, making the advisor dependable and respected in the community.",Positive,Empathy and active listening,Honesty and integrity,Knowledge and expertise,Moral and ethical behavior,Reliability and consistency,Transparency and openness,,,,
1720db13-f61b-492f-8d41-8136bc905096,"In my community, a trustworthy advisor demonstrates honesty, integrity and respect for my community values. They listen carefully and offer guidance rooted in knowledge and show empathy. The key qualities needed to build trust are consistency in actions, humility and a strong moral character.",Positive,Cultural understanding and respect,Empathy and active listening,Honesty and integrity,Moral and ethical behavior,Reliability and consistency,,,,,
64102188-ff2b-408f-b7e8-ea7204c691c0,"In my community, a trustworthy advisor demonstrates honesty, reliability, and respect for others' values. Key behaviors include:

Listening actively: Giving others the time to express themselves without judgment.
Transparency: Being open about their knowledge, limitations, and intentions.
Consistency: Providing advice that aligns with cultural values and is consistent over time.
Empathy: Understanding others’ challenges, offering tailored, thoughtful solutions.
Accountability: Taking responsibil",Neutral,Accountability and responsibility,Cultural understanding and respect,Empathy and active listening,Honesty and integrity,Reliability and consistency,Transparency and openness,,,,
97730491-5a25-49e3-a09f-732e3ca3da67,"In my community, a trustworthy advisor is honest, respectful, and knowledgeable. They listen carefully, give thoughtful and unbiased advice, and consider the well-being of others. Their actions match their words, and they maintain confidentiality, showing care and reliability in every interaction.",Positive,Confidentiality and privacy,Consistency between words and actions,Empathy and active listening,Honesty and integrity,Reliability and consistency,,,,,
6ca4b2be-16bd-44c9-b01b-aab9f4ece540,"In my community, a trustworthy advisor is one who respect each and every person irrespective of caste, creed or race, the person who speaks to everybody politely, provide apt and practical solution to the related problems of the people seeking help. The person to whom everyone listens and follows whatever he or she advises",Neutral,Cultural understanding and respect,Inclusivity and fairness,Problem-solving skills,,,,,,,
a7969819-1c9f-4366-8ba3-668e7107c5da,"In my community, a trustworthy advisor is some one who is a good listener, an understanding and with a non judgmental character.  These qualities help build trust and relationship.",Positive,Empathy and active listening,Non-judgmental attitude,,,,,,,,
e499102d-34db-4037-ae05-fba3ee222050,"In my community, a trustworthy advisor is someone who demonstrates honesty, listens actively, respects cultural values, shows empathy, and offers advice based on experience and integrity.",Positive,Empathy and active listening,Experience and wisdom,Honesty and integrity,Respect for community values,,,,,,
7c16bfe7-9232-4a3d-8076-4eedc313af7a,"In my community, a trustworthy advisor is someone who demonstrates honesty, understanding, and experience. They offer clear, unbiased advice and act with integrity, always putting others' well-being first. They listen actively and are patient, giving others time to explain their concerns. A good advisor shows empathy, acknowledges feelings, and respects cultural values. Consistency in their actions and words also builds trust. ",Positive,Commitment to the well-being of others,Consistency between words and actions,Empathy and active listening,Experience and wisdom,Honesty and integrity,Reliability and consistency,Respect for community values,,,
06b26046-ad63-4339-93da-b84ecd9fba5a,"In my community, a trustworthy advisor is someone who has the following traits

1. Honesty 

2. Truthful 

3. Knowledgeable 

4. Wise

5. Humble 

6. Concerned ",Neutral,Commitment to the well-being of others,Experience and wisdom,Honesty and integrity,Knowledge and expertise,Moral and ethical behavior,,,,,
900c92dd-a0fe-4a7d-aed0-c8e291e1a9d3,"In my community, a trustworthy advisor is someone who shows honesty, listens carefully, offers thoughtful advice, and demonstrates empathy, experience, and consistency in their actions.",Positive,Empathy and active listening,Experience and wisdom,Honesty and integrity,Reliability and consistency,,,,,,
60742b6b-32e0-42ac-bee8-2c1d172569d9,"In my community, a trustworthy advisor is someone who shows respect for tradition, listens actively, and speaks honestly.",Positive,Cultural understanding and respect,Empathy and active listening,Honesty and integrity,,,,,,,
c8542667-633b-4327-801e-41d9347a8813,"In my community, a trustworthy advisor listens well, speaks honestly, respects others, and knows their stuff. Being reliable and having good values is what makes them trusted.",Positive,Effective communication skills,Empathy and active listening,Honesty and integrity,Knowledge and expertise,Reliability and consistency,,,,,
e9be3127-9fbe-48ac-82a4-0c5f04086def,"In my community, people are seen as being trustworthy if they occupy a opposition of power or a prestigious position in a company, doctors. Also those who are involved in church or religious activities, schools are seen as trustworthy.",Neutral,Experience and wisdom,Respect for community values,,,,,,,,
523726d1-1ed7-4eb8-97aa-c03b96674a58,"In my community, someone trustworthy would be someone who has a certain integrity and who is an expert on the subject. This is someone who has values associated with honesty and respect.",Positive,Honesty and integrity,Knowledge and expertise,Respect for community values,,,,,,,
92149261-c131-435c-a11a-180c93e93758,"In my community, trustworthiness in an advisor is deeply rooted in both personal integrity and cultural understanding. ",Positive,Cultural understanding and respect,Honesty and integrity,,,,,,,,
1125010d-f7c4-4ad6-ba28-99418514217d,"In my community, trustworthy advisor is someone who is experienced and is aligned with the cultural principles and values. One who knows the basics of foundation of the community ideas and perceptions. He is open to listen to everyone's ideas and have enough patience to provide solutions in accordance to community beliefs with the maturity and calmness to make others understand the same and not hurting the core values of the community.",Positive,Cultural understanding and respect,Empathy and active listening,Experience and wisdom,Patience and understanding,Respect for community values,,,,,
5b27c0a2-0725-4dbd-9cce-0c7de1803300,"In my community, what makes someone a trusted advisor is their knowledge, experience, integrity, and ability to listen. They are respected for their honesty, reliability, and willingness to offer thoughtful guidance while understanding the needs and values of others.",Positive,Empathy and active listening,Experience and wisdom,Honesty and integrity,Knowledge and expertise,,,,,,
3cb4ea33-2c32-49ac-85a7-aa0d5b95d301,"In my culture, a trustworthy person is a person who can listen, is reliable, sincere and honest. Such a person has constant values ​​and can listen to the other interlocutor. He also demonstrates high culture and truthfulness.",Positive,Cultural understanding and respect,Empathy and active listening,Honesty and integrity,Reliability and consistency,,,,,,
2ad5edd4-95cc-4021-b3eb-c7389d35c821,"Integrity – They are honest and transparent, always providing truthful and reliable information.
Respect for others – They listen carefully, value others' opinions, and treat everyone with respect.
Consistency – They consistently follow through on their promises and offer reliable guidance over time.
Empathy – They understand and consider the feelings and perspectives of others, offering advice that is sensitive to the situation.",Positive,Cultural understanding and respect,Empathy and active listening,Honesty and integrity,Reliability and consistency,,,,,,
506111af-c772-4076-adcd-4badd9d26b84,"Integrity, honesty, expertise, knowledge, empathy. Understanding and humility makes someone a trustworthy advisor.",Positive,Empathy and active listening,Honesty and integrity,Knowledge and expertise,Patience and understanding,,,,,,
256a32fa-fba6-44ab-9041-ed52b9db8770,"Integrity, wisdom and trust - if you know that person is always going to be honest with you and not lie it builds a relationship",Positive,Honesty and integrity,Moral and ethical behavior,,,,,,,,
