Participant ID,ResponseText,Sentiment,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11
d9aa93fd-8deb-4238-81ad-35a1072da988,"This includes Complex family matters, Caste related issues, Religion and spiritual guidance, Major life decisions, Ethical dilemmas.",Neutral,Cultural sensitivity and traditions,Ethical and moral dilemmas,Religious and spiritual matters,When the topic involves family or relationship advice,,,,,,,
7b6dd76f-ed90-4806-a221-bc73e08a4ef6,"When dealing with culturally sensitive issues, moral dilemmas, or decisions that impact the community.",Neutral,Community-specific issues,Cultural sensitivity and traditions,Ethical and moral dilemmas,,,,,,,,
e2e859fd-a7c1-49ee-9945-c64175c5f861,"When it comes to human emotions, mental problems and critical health problems",Neutral,Complex emotional and personal issues,Medical and health advice,When the topic involves mental health,,,,,,,,
ad7e1a08-d003-4a41-8058-bcb08f23db73,"When its database is incomplete. When it comes to emotion, feelings, mental and physical health, religion, traditions...",Neutral,Complex emotional and personal issues,Cultural sensitivity and traditions,Medical and health advice,Religious and spiritual matters,When AI lacks sufficient information,,,,,,
a79ee70b-f0c5-4247-9b25-31d13094fbde,"When the context or information is not supported in a way that has already been tested in the field, in emotional situations and above all ethical human issues",Neutral,Complex emotional and personal issues,Ethical and moral dilemmas,When human expertise is necessary,,,,,,,,
002e5b02-7b03-4650-ab3c-e36e3b50339b,When the discussion involves a sensitive topic involving a specific region or community,Neutral,Community-specific issues,,,,,,,,,,
18ba0c23-566c-47e1-8c1c-55f32811115a,When the matter is sensitive and the response may hurt their core values ,Negative,When the topic involves community trust and values,,,,,,,,,,
6af49385-5c0a-40c3-8a89-130f5f81734b,When the matters presented would impact different groups of people negatively.,Negative,When the topic involves cultural or societal impact,,,,,,,,,,
e17620a5-1fe8-43d6-a605-c0ea117f87c9,"When the topic being discussed could cause harm to society or a group of people. Cases such as suicide, attacks and drug production.",Negative,When the topic involves potential harm or danger,,,,,,,,,,
8a3e1ee1-700d-49ea-b1a9-a37b490900e3,"Where deep cultural, ethical or contextual expertise is required.",Neutral,Ethical and moral dilemmas,When the topic involves deep understanding and experience,When the topic requires deep local knowledge,,,,,,,,
e36f1c7a-d0d9-414b-838b-8be523ded3b0,it need more information about culture and natural things.,Negative,Uninformative answer,When AI lacks sufficient information,,,,,,,,,
7cc8ee2f-ca73-4d61-b135-2a2cee7e6364,"when there are topics that require more authoritative references, culturally sensitive topics etc.",Neutral,Community-specific issues,Cultural sensitivity and traditions,,,,,,,,,
69ee82fa-f066-47ec-b566-d054595cd88a,"
AI should defer to human wisdom or community leaders on sensitive issues such as cultural practices, ethical dilemmas, religious matters, or local disputes where deep cultural understanding is essential.",Neutral,Community-specific issues,Cultural sensitivity and traditions,Ethical and moral dilemmas,Religious and spiritual matters,,,,,,,
bdc6211f-2117-46fb-967b-ac95de95cc8d,AI must evaluate the information it receives based on its experiences with other humans’ conversations and what is considered right and wrong in our community.,Negative,Ethical and moral dilemmas,When the topic involves community trust and values,,,,,,,,,
94a124b7-120d-4057-925e-f3193c623c93,"AI should defer to human wisdom or community leaders when dealing with culturally sensitive issues, ethical dilemmas, religious guidance, legal matters, or deeply personal decisions that require lived experience, moral judgment, and contextual understanding",Neutral,Cultural sensitivity and traditions,Ethical and moral dilemmas,Legal and financial guidance,Religious and spiritual matters,When the topic is deeply personal,,,,,,
32930c65-ecfd-46b6-9d45-3378bdf48dfa,"AI should defer to human wisdom or leaders when topics involve cultural, ethical, emotional, or community-specific nuances.",Neutral,Community-specific issues,Complex emotional and personal issues,Cultural sensitivity and traditions,Ethical and moral dilemmas,Situations requiring empathy and emotional intelligence,,,,,,
6349cd2f-3af6-496a-a123-df69c602e07d,"AI should turn to human wisdom or community leaders when dealing with issues related to morality, ethics, issues that require direct human intervention, such as problems related to a person's physical or mental health, among other things.",Negative,Ethical and moral dilemmas,Medical and health advice,When the topic involves mental health,,,,,,,,
1720db13-f61b-492f-8d41-8136bc905096,"An AI should defer on cultural,religious, or personal matters as these require subtle understanding and should also encourage seeking professional advice for issues like mental health, legal concerns or any spiritual guidance.",Neutral,Complex emotional and personal issues,Cultural sensitivity and traditions,Legal and financial guidance,Religious and spiritual matters,When the topic involves mental health,,,,,,
73491626-2425-4eb4-b0db-76dc787bbe24,"An AI should defer to human wisdom or community leaders when addressing culturally sensitive matters, ethical dilemmas, spiritual guidance, or decisions requiring deep local context and lived experience.",Neutral,Cultural sensitivity and traditions,Ethical and moral dilemmas,Religious and spiritual matters,When the topic requires deep local knowledge,,,,,,,
25e9a389-4acf-45e8-a49b-1efbcd40b239,"An AI should defer to humans for cultural/religious matters, ethical dilemmas, legal/medical advice, community-specific issues, and personal crises, recommending expert or local guidance when needed.",Neutral,Community-specific issues,Cultural sensitivity and traditions,Ethical and moral dilemmas,Legal and financial guidance,Medical and health advice,Religious and spiritual matters,When the topic is deeply personal,,,,
ca5a25f4-a494-476e-869b-789d7c1f2d2e,"An AI should rely on human wisdom on cultural, ethical, or sensitive issues, suggesting consulting community leaders or experts when necessary.",Neutral,Community-specific issues,Cultural sensitivity and traditions,Ethical and moral dilemmas,,,,,,,,
e9a6970f-e5e0-4a37-8006-53a56412e909,"Anything related to Spirituality, Religion and Inner Science.",Neutral,Religious and spiritual matters,,,,,,,,,,
6a8ba57d-a791-4871-9d6a-c90b704c9a75,"Cultural sensitivity, ethical dilemmas, crisis situations",Positive,Cultural sensitivity and traditions,Ethical and moral dilemmas,When the topic involves crisis or emergency situations,,,,,,,,
60742b6b-32e0-42ac-bee8-2c1d172569d9,"Defer to human wisdom when addressing matters that require deep cultural, spiritual, or emotional understanding.Also when dealing with sensitive issues 
",Neutral,Complex emotional and personal issues,Cultural sensitivity and traditions,Religious and spiritual matters,,,,,,,,
e147d634-a776-4599-b8c3-a5a35a14ec6f,"Ethical Dilemmas: Human values and ethics can be complex and context-dependent, making it essential for humans to navigate these challenges.",Neutral,Ethical and moral dilemmas,,,,,,,,,,
0bc9fd87-bcf5-4ec1-bfd1-a542dd9d5a81,"Ethical and moral issues
Decisions that affect human life",Neutral,Ethical and moral dilemmas,When the topic involves potential harm or danger,,,,,,,,,
1742e489-ec0d-4fb1-94f6-2d563b49c46e,"I think topics related to medical, religion and personal family matters are best to be discussed with human kind.",Neutral,Medical and health advice,Religious and spiritual matters,When the topic involves family or relationship advice,,,,,,,,
03a10fb5-44e6-4d6f-b23f-f45598418ef7,"I think when it is asked about moral dilemmas, religions, and politics.

",Neutral,Ethical and moral dilemmas,Religious and spiritual matters,Sensitive political topics,,,,,,,,
2fb56887-1d0c-42cf-b91f-c63dced6c6ef,"If someone asks for advice on how to navigate a spiritual crisis or how to observe a specific cultural ritual, AI should provide general information but suggest seeking wisdom from a community leader or spiritual advisor for personal guidance.",Neutral,Cultural sensitivity and traditions,Religious and spiritual matters,,,,,,,,,
d2f63dff-0a37-425e-ae4d-752e9b4cd163,"If the situation is very local, such as someone in the neighbourhood is facing a problem due to some local matters",Neutral,Community-specific issues,When the topic requires deep local knowledge,,,,,,,,,
ab5bd16c-4d12-4cf4-bdd2-249af3dd998b,If the topic is cotroversial or legal. If the topic is linked to seniments and religion of a person.,Neutral,Controversial or biased topics,Cultural sensitivity and traditions,Religious and spiritual matters,,,,,,,,
8d9b6ece-d25e-4009-9cda-6135af3a6c9c,"In cases where human emotional intelligence is needed, for instance matters on one's sexuality or religion",Neutral,Complex emotional and personal issues,Religious and spiritual matters,,,,,,,,,
21ded62a-4e7d-4fb0-bd1e-bc5a35af3141,"In many topics, especially medical, religious, and related to social relations.",Neutral,Complex emotional and personal issues,Medical and health advice,Religious and spiritual matters,,,,,,,,
8a2a3c31-b3e0-4986-b674-dcabfbe081c3,"In questions about feelings and confusion, for example, when people use AI as a psychologist or interlocutor.",Neutral,Complex emotional and personal issues,Situations requiring empathy and emotional intelligence,,,,,,,,,
e499102d-34db-4037-ae05-fba3ee222050,In situations with complex emotional understanding.,Positive,Complex emotional and personal issues,Situations requiring empathy and emotional intelligence,,,,,,,,,
e16583ae-c5ac-4c8c-8f7b-37fd5796af81,"In terms of human problems like divorce, any relationship trauma, feeling anxiety or any other behavioral problems. ",Neutral,Complex emotional and personal issues,When the topic involves family or relationship advice,,,,,,,,,
737bb7d8-7bdb-426e-9bd1-c3ee8cd95765,"It should defer to human wisdom and community leaders all the time but also provide its own answers. It could be topics like empathy, morality, sensitivity, prejudice, human freedom, choices, personality traits, psychology, relationships, emotions, mental and physical health, common sense, humor, etc",Neutral,Complex emotional and personal issues,Ethical and moral dilemmas,Situations requiring empathy and emotional intelligence,When the topic involves family or relationship advice,,,,,,,
089b891d-93da-468d-a7e3-dfcdc24084a4,"Matters such as those taken before Sheria courts where such a system applies, should be referred to such institutions because they usually require a lot of human input and emotions to understand",Neutral,Complex emotional and personal issues,Legal and financial guidance,,,,,,,,,
f042754d-942c-45e9-8efd-9b4d2e649794,"Medical context, mental wellness related, ",Neutral,Medical and health advice,When the topic involves mental health,,,,,,,,,
e281252f-00f7-4480-b5e9-7fee5364a574,"On more delicate topics such as medicine, psychology, religion, life advice.",Neutral,Medical and health advice,Religious and spiritual matters,When the topic involves mental health,,,,,,,,
1d406c09-5df1-471f-af94-dac32af330b3,"Questions that don't have clear answers and ask for subjective opinions.

Seeking moral right or wrong. 

Medical questions involving life or death. 

Seeking interpretations of the law.

Question from persons who appear mentally unstable or seek advice regarding their mental state. 

Questions requiring sensitivity to artistic works. ",Neutral,Ethical and moral dilemmas,Legal and financial guidance,Medical and health advice,When the topic involves artistic or creative matters,When the topic involves mental health,,,,,,
475f1f14-45d1-4192-a3d3-937b1e093722,Religious or spiritual matters. And for interpersonal conflict. ,Neutral,Complex emotional and personal issues,Religious and spiritual matters,,,,,,,,,
4da0d842-3978-4371-8402-402fd59694f6,"Sensitive social or cultural issues: When a question is related to cultural, religious or traditional context, AI should follow human understanding and local traditions. In this case, advice from community leaders or cultural experts may be necessary so that the answer respects the diversity and sensitivities of society.

2. Legal or medical advice is needed: AI should always seek guidance from experts in legal or medical matters. In such cases, incorrect information can lead to serious legal or health consequences.",Neutral,Cultural sensitivity and traditions,Legal and financial guidance,Medical and health advice,Religious and spiritual matters,,,,,,,
fd59bee4-5f60-4387-9204-79cbc74abcb0,Sensitive topics like political views or moral issues.,Neutral,Ethical and moral dilemmas,Sensitive political topics,,,,,,,,,
92b4cbba-fb4b-488d-92d6-35c7b794caa6,Situations that are complicated and require a human opinion and empathy ,Neutral,Complex emotional and personal issues,Situations requiring empathy and emotional intelligence,,,,,,,,,
ae97c111-612b-428f-b852-b39dab639a9a,"Suggestions about crime, sensitive medicine that might be used for crime purposes, things that might trigger mental stress, sensitive information that might impact community  ",Neutral,When the topic involves community trust and values,When the topic involves mental health,When the topic involves potential harm or danger,,,,,,,,
c0e5db77-606f-4054-ac54-4fe4e81cd198,"That is a difficult question. In cases of conflicts between ethnic groups or races, AI may struggle to understand complex emotional issues, making it necessary for humans to gather opinions through direct discussions and dialogue.",Neutral,Complex emotional and personal issues,When the topic involves conflict resolution,,,,,,,,,
efa4624c-0cde-4cef-99ca-0c693ea6d2c5,"That's a tough one. I guess it depends on the context. So stuff like morals, vigilanism, faith.",Neutral,Ethical and moral dilemmas,Religious and spiritual matters,,,,,,,,,
6f76a7ec-e8d2-42ee-9792-5f81d25b93fd,There's situation like ethical dilema like AI may lack the understanding of wisdom of best choice considering there's decision involve complex ethical considerations or cultural nuances. ,Neutral,Cultural sensitivity and traditions,Ethical and moral dilemmas,,,,,,,,,
49a524c5-71f4-4240-ab59-660319ebb921,"Topics regarding mental health, especially if whoever's asking seems in danger.",Neutral,Medical and health advice,When the topic involves crisis or emergency situations,When the topic involves mental health,,,,,,,,
87c5240f-dd05-4d29-b915-c2aa0da817d5,"Topics such as suicide, religious guidance, legal issues etc should always be referred to a human source rather than an AI. Anything with nuance which could affect someone's life. ",Neutral,Ethical and moral dilemmas,Legal and financial guidance,Religious and spiritual matters,When the topic involves potential harm or danger,,,,,,,
394c0930-4897-4fd7-829a-d14c5701b6be,When I have asked a question which requires answer to be based on my local culture context.,Neutral,Cultural sensitivity and traditions,When the topic requires deep local knowledge,,,,,,,,,
f3cb6830-b9c2-461c-b28e-9e80f33abdcd,When a local context is required ,Neutral,When the topic requires deep local knowledge,,,,,,,,,,
f5bfc395-d559-49f5-a970-8781c3b4cf87,"When a person is facing things like depression, grief, or trauma, a human therapist or psychologist can provide the understanding, guidance, and emotional support that an AI cannot fully offer.",Neutral,Complex emotional and personal issues,When the topic involves mental health,,,,,,,,,
4be2a465-df19-49f9-bfe0-4c0d48bf6ed8,"When asked questions or for advice regarding things it cannot understand, like emotions and traditions. ",Negative,Complex emotional and personal issues,Cultural sensitivity and traditions,,,,,,,,,
8e5549b0-0330-40ab-ac63-b7d96c94b2b1,"When asked something related to a deep personal topic such as mental health, personal relationships, important life decisions, medical issues",Neutral,Complex emotional and personal issues,Medical and health advice,When the topic involves family or relationship advice,When the topic involves mental health,When the topic is deeply personal,,,,,,
be24cc51-1822-44b8-9a3d-94c05862809a,"When cultural, religious, or family issues come up, it should rely on human judgment who have a better knowledge of the customary practices, culture, and value system that can be summarized by the AI.",Neutral,Cultural sensitivity and traditions,Religious and spiritual matters,When the topic involves social norms or customs,,,,,,,,
92149261-c131-435c-a11a-180c93e93758,"When dealing with cultural practices, local traditions, or social norms, AI might not fully grasp the depth or significance of those issues. In these cases, deferring to community leaders or cultural experts ensures that the advice respects the traditions and sensitivities of that community.",Neutral,Community-specific issues,Cultural sensitivity and traditions,When the topic involves social norms or customs,,,,,,,,
c2f65337-6814-4111-bd5f-7c72d8652f46,"When dealing with nuanced ethical, cultural, or subjective matters where human experience and values are essential.",Neutral,Cultural sensitivity and traditions,Ethical and moral dilemmas,When the topic involves subjective opinions,,,,,,,,
c5a220dc-ab74-41ca-b1e3-8377a42c7afb,"When issues involve differences in ethics, values, or cultural backgrounds, and AI cannot fully understand the nuances, human judgment should be respected.",Negative,Cultural sensitivity and traditions,Ethical and moral dilemmas,,,,,,,,,
93b7b9e3-bca1-421d-88aa-ed600d14c233,"When it comes to complex cultural contexts, or where the AI's knowledge is outdated.",Negative,Cultural sensitivity and traditions,When human expertise is necessary,,,,,,,,,
590fd9c3-16c2-4312-9f22-bbc96e593d88,When it comes to cultural or moral issues. ,Neutral,Cultural sensitivity and traditions,Ethical and moral dilemmas,,,,,,,,,
522f6015-6448-48ca-bf5b-d3ac5ba9f02d,When it comes to healthcare andsensitive matters like politics,Neutral,Medical and health advice,Sensitive political topics,,,,,,,,,
642452e0-a92d-44ba-8a9a-b8c7bdb1f65c,"When it comes to personal and local questions and also questions related to life value and culture, I mean not the technical questions. ",Neutral,Cultural sensitivity and traditions,Ethical and moral dilemmas,When the topic involves social norms or customs,,,,,,,,
4396cd07-f52e-4af4-bee2-ba9f1c7a1270,"When it comes to religious doubts, sexual questions and questions from people that are suspected to be mentally ill or prone to self-harm.",Negative,Religious and spiritual matters,When the topic involves mental health,,,,,,,,,
de0745d6-988c-4a65-81d9-6a198ee05641,"When it comes to sensitive topics such as: health practices, any emotional topic.",Neutral,Complex emotional and personal issues,Medical and health advice,,,,,,,,,
676991a0-838a-48ef-a799-caa28a6de012,When it doesn’t understand cultural norms.,Neutral,Cultural sensitivity and traditions,When the topic involves social norms or customs,,,,,,,,,
af056fda-7437-49aa-a139-a0bc81808f3d,When it is being asked about how a person feels. Definitely emotional aspects,Neutral,Complex emotional and personal issues,Situations requiring empathy and emotional intelligence,,,,,,,,,
722ffc3d-74f1-40eb-9294-576650bbc431,"When matters pertaining to complex religious, financial, and familial issues arise. The AI may not be well-versed in settling disputes in certain cultural contexts.",Neutral,Legal and financial guidance,Religious and spiritual matters,When the topic involves conflict resolution,When the topic involves family or relationship advice,,,,,,,
5f898eed-00e8-412f-8360-8c0ab5681688,"When someone is dealing with things like depression, grief, or trauma, a human therapist or psychologist can offer the empathy, context, and support that an AI can't fully provide.",Neutral,Complex emotional and personal issues,Situations requiring empathy and emotional intelligence,When the topic involves mental health,,,,,,,,
527356b0-3bb9-46a8-85d2-806d94f9af6e,"When talking about sensitive topics, or where health is visibly affected",Neutral,Medical and health advice,When the topic involves potential harm or danger,,,,,,,,,
2db719b3-dba9-4ba9-adf6-f6c787ee0b57,When the AI gets sensitive on information that speak negatively about a community ,Neutral,Controversial or biased topics,,,,,,,,,,
4f6c001f-43d7-46ea-9959-19a0df789ada,When the information differs from one community to another,Neutral,Community-specific issues,,,,,,,,,,
5f7f5857-dde9-44c6-91fb-c41f434d0f77,When the question involves cultural norms or ethical values that are unique to a community,Neutral,Community-specific issues,Cultural sensitivity and traditions,Ethical and moral dilemmas,,,,,,,,
2d1c4d71-a62d-440c-8688-c201d441d007,"When the question involves religious beliefs, practices, or guidance, the AI should defer to religious leaders, scholars, or personal spiritual advisors.",Neutral,Religious and spiritual matters,,,,,,,,,,
5b05ef90-82ca-4d13-8b21-a933ab96d506,"When the question is more inclined to a cultural context, and when the question is more personal in nature. That would need a local person who has a better understanding and emotional feelings hence AI should defer to human wisdom or community leaders rather than providing its own answers. ",Neutral,Complex emotional and personal issues,Cultural sensitivity and traditions,When the topic requires deep local knowledge,,,,,,,,
32954590-dc8e-4037-bc15-1ed5bcbaa0aa,"When the question is on specific cultural topic, and the answer can rely only on the known facts from history or concrete information ",Neutral,Cultural sensitivity and traditions,When the topic involves historical or traditional practices,,,,,,,,,
0efb8cc6-437e-4e8b-9830-3a706dd57b61,When the topic raised to give controversy or risk on causing harm or damaging relationship ,Neutral,Controversial or biased topics,When the topic involves potential harm or danger,,,,,,,,,
c6d66d34-9007-4d90-89fd-1c72fda3b388,"When the topic revolves around health, mental well-being, religion, and controversial human beliefs. ",Neutral,Controversial or biased topics,Medical and health advice,Religious and spiritual matters,,,,,,,,
982c9238-d8d2-4091-952c-4de3ae6817fd,When there is an issue regarding deep matters of understanding.,Neutral,When the topic involves deep understanding and experience,,,,,,,,,,
4a47f847-82e6-469a-b7ae-a6036fb17f46,Where something with a cultural context is required,Neutral,Cultural sensitivity and traditions,,,,,,,,,,
d29a289f-e71e-4579-b1b5-4771e489b6f6,"critical legal or health decisions: legal issues: interpreting malaysia laws in inheritance or marriage, health crisis: diagnoses, treatment plans or mental health emergencies, check emotions, e.g. can ask question like how are you feeling today?

",Neutral,Legal and financial guidance,Medical and health advice,,,,,,,,,
ee0b4789-147b-4583-86e8-9b54defc841d,it should defer if the topic involved is sensitive towards the community,Neutral,Community-specific issues,Cultural sensitivity and traditions,,,,,,,,,
714909a6-53b8-48b2-8e32-0dc61d95ac4b,it should defer to human wisdom when the topic requires deep cultural understanding or personal experience or specific traditions,Negative,Cultural sensitivity and traditions,When the topic involves deep understanding and experience,,,,,,,,,
a7969819-1c9f-4366-8ba3-668e7107c5da,"AI should defer the human wisdom on issues on politics, sexuality and religion",Negative,Ethical and moral dilemmas,Religious and spiritual matters,Sensitive political topics,,,,,,,,
5b27c0a2-0725-4dbd-9cce-0c7de1803300,"AI should defer to human expertise in situations where the stakes are high, the context is deeply subjective, or where ethical, legal, or emotional complexity is involved. For example:

Medical advice that requires diagnosis or treatment decisions.
Legal advice with significant consequences.
Emotional or psychological support where empathy and human connection are critical.
Cultural, ethical, or value-based questions that depend on personal or societal judgment.
",Neutral,Ethical and moral dilemmas,Legal and financial guidance,Medical and health advice,Situations requiring empathy and emotional intelligence,When human expertise is necessary,When the topic involves subjective opinions,,,,,
92752bf7-cb9c-42dd-bf56-b265e357019e,"AI should defer to human wisdom or community leaders rather than providing its own answers in situations where cultural traditions, ethical considerations, and deep local knowledge are involved.",Negative,Cultural sensitivity and traditions,Ethical and moral dilemmas,When the topic requires deep local knowledge,,,,,,,,
0a9ba17d-ab93-4268-8f7e-11d71c820373,"AI should defer to human wisdom or community leaders when addressing deeply cultural, spiritual, or moral matters that require lived experience, emotional understanding, or context-specific insights. For example, topics involving traditional practices, family disputes, or guidance on ancestral beliefs are best left to elders or community leaders. Additionally, sensitive issues that impact relationships or values should prioritize human judgment to",Neutral,Community-specific issues,Cultural sensitivity and traditions,Ethical and moral dilemmas,Religious and spiritual matters,,,,,,,
97730491-5a25-49e3-a09f-732e3ca3da67,"AI should defer to human wisdom or community leaders when dealing with complex cultural, ethical, or personal matters that require deep understanding, experience, or emotional judgment, like conflict resolution or spiritual guidance.",Neutral,Complex emotional and personal issues,Cultural sensitivity and traditions,Ethical and moral dilemmas,Religious and spiritual matters,When the topic involves conflict resolution,When the topic involves deep understanding and experience,,,,,
7c16bfe7-9232-4a3d-8076-4eedc313af7a,"AI should defer to human wisdom or community leaders when the topic is about personal, cultural, or spiritual matters. These are areas where human experience and understanding are needed. For things like religious practices, family issues, or local traditions, it’s better to ask someone from the community with the right knowledge instead of relying on AI.",Neutral,Community-specific issues,Complex emotional and personal issues,Religious and spiritual matters,When human expertise is necessary,,,,,,,
2ad5edd4-95cc-4021-b3eb-c7389d35c821,"An AI should defer to human wisdom or community leaders in situations like:

Cultural or local knowledge – When the issue involves deep cultural context, traditions, or local norms that an AI may not fully understand.
Moral or ethical dilemmas – For complex decisions that require empathy, understanding of values, or subjective judgment, especially in sensitive areas like family, community, or religion.
Health or medical advice – When the question involves diagnosis or treatment.",Neutral,Cultural sensitivity and traditions,Ethical and moral dilemmas,Medical and health advice,Religious and spiritual matters,When the topic is deeply personal,,,,,,
1043e55b-0e53-4fc2-961c-cda1182698a0,"An AI should defer to human wisdom or community leaders in situations where:

Cultural or Religious Matters: These require nuanced understanding and respect for traditions or beliefs.
Ethical or Moral Decisions: Complex issues involving values or societal norms are best guided by humans.
Sensitive Personal Issues: Topics like grief, trauma, or relationships need empathy and expertise beyond AI’s capability.
Legal, Medical, or Financial Guidance.

",Neutral,Complex emotional and personal issues,Cultural sensitivity and traditions,Ethical and moral dilemmas,Legal and financial guidance,Medical and health advice,Religious and spiritual matters,,,,,
c8542667-633b-4327-801e-41d9347a8813,An AI should leave complex or sensitive issues to people with the right experience and judgment.,Negative,Complex emotional and personal issues,When human expertise is necessary,,,,,,,,,
7edfa5a3-4e28-458f-8edd-9962e008873b,"An AI should step aside from human intelligence by seeking help from a wise person or a community elder in areas dealing with culture, morality, or individual experience. This covers issues concerning culture, cultural practices, cultural beliefs, ethical issues, and cultural practices within a particular community. Further, in the cases of mental, legal, or essential life situations, the AI should be reminded to consult with a specialist or other responsible and caring person. In this way, than",Neutral,Community-specific issues,Cultural sensitivity and traditions,Ethical and moral dilemmas,Legal and financial guidance,Medical and health advice,Religious and spiritual matters,When the topic involves social norms or customs,,,,
ac43492a-64ea-42fe-b045-4ebb5eec0544,Community context questions ,Neutral,Community-specific issues,Uninformative answer,,,,,,,,,
3a2763f1-b003-4913-b246-52f6d0b38bd2,"I think in matters that has to do with religion, crime/justice, and politics.",Negative,Legal and financial guidance,Religious and spiritual matters,Sensitive political topics,,,,,,,,
e122ae04-0516-4f28-868f-f72b2c0dcda2,"I think, like with my previous answer, if the person using AI is seeking medical advice or anything having to do with suicide or dangerous mental health situations. Simply put, AI cannot interpret these things the same way that a human can. It can use language showing empathy and support but does not know your personal medical history, therefore, should not be able to give you advice.",Neutral,Medical and health advice,When the topic involves mental health,,,,,,,,,
462d4c01-0370-4d02-a600-2f7d3293e587,"If questions involve sensitive topics, AI should listen to human knowledge or community leaders rather than giving its own answers.",Neutral,Ethical and moral dilemmas,When human expertise is necessary,,,,,,,,,
6c5ba52a-a343-45d6-af1a-44ee3c376345,If the context is harmful,Negative,When the topic involves potential harm or danger,,,,,,,,,,
bf347c0d-2ddf-42c1-b585-acb67b0bd521,If the topic is too complex for community leaders to understand ,Neutral,Other,,,,,,,,,,
e49470a6-ac16-4b20-808c-71658f27a4c6,In cases of spiritual practices. Community leaders are more knowledge in that,Neutral,Religious and spiritual matters,When the topic involves community trust and values,,,,,,,,,
9066d5ca-23e2-46ab-8a46-5ca4b4b508cf,In cases where human life would be seriously affected,Neutral,When the topic involves potential harm or danger,,,,,,,,,,
f3447ff7-8e6e-41df-b9df-80c33652907e,"In matters concerning mental health and health issues that require a professional's input since I believe there's some wisdom and comprehension of matters that humans are able to compared to an AI assistant 

",Neutral,Medical and health advice,When human expertise is necessary,,,,,,,,,
1e672d04-fe5a-44f2-846e-2f02c84fb9ab,In regards to human relationships or even owner to pet interactions. Although there is some science behind it there is unexplainable emotions involved.,Neutral,Complex emotional and personal issues,When the topic involves family or relationship advice,,,,,,,,,
c41b0328-b975-4dfb-99f8-105a5f6a12c3,Topics which are sensitive and still need more clarity in the question to be waited,Negative,Sensitive political topics,When the topic involves subjective opinions,,,,,,,,,
