Question ID,Question Text,Response Text,Min Agreement Rate,44+,55+,Africa,Asia,Central America,Central Asia,Eastern Africa,Eastern Asia,Eastern Europe,Europe,North America,Norther Europe,Northern Africa,Northern America,O2: 18-25,O2: 26-35,O2: 36-45,O2: 46-55,O2: 56-65,O3: Female,O3: Male,O4: Rural,O4: Suburban,O4: Urban,O5: Equally concerned and excited,O5: More concerned than excited,O5: More excited than concerned,O6: Buddhism,O6: Christianity,O6: Hinduism,O6: I do not identify with any religious group or faith,O6: Islam,O6: Judaism,O6: Other religious group,Oceania,South America,South Eastern Asia,Souther Asia,Southern Africa,Southern Europe,Western Asia,Western Europe
0d2fce0f-3df8-4dfd-85a9-81e4ffaccdf8,"What is something unique, that other people might not think about, but that you really want to be true about the future? Choose one thing, and be as specific and objective as possible.","Instead of relying on cars all the time, we could create a suit that allows us to fly from one point to another, and even if a plane malfunctions while in the air, someone could fly and fix the problem.",0.4800,0.5500,0.5700,0.5400,0.5400,0.5200,0.6500,0.5200,0.6100,0.5400,0.5900,0.6000,0.6700,0.7300,0.6100,0.5500,0.5600,0.5400,0.5400,0.5000,0.5500,0.5500,0.6500,0.5300,0.5500,0.5400,0.5700,0.5600,0.5200,0.5500,0.4800,0.5900,0.5400,0.7200,0.5600,0.5500,0.5200,0.5300,0.5000,0.5000,0.5300,0.5600,0.5800
0d2fce0f-3df8-4dfd-85a9-81e4ffaccdf8,"What is something unique, that other people might not think about, but that you really want to be true about the future? Choose one thing, and be as specific and objective as possible.",I hope to achieve gender equality in all aspects,0.4700,0.5500,0.5000,0.5100,0.5300,0.5200,0.5900,0.4800,0.5900,0.6300,0.6000,0.5600,0.6200,0.5800,0.5700,0.5100,0.5500,0.5500,0.5700,0.6000,0.5400,0.5300,0.6400,0.5300,0.5300,0.5500,0.4700,0.5400,0.4800,0.5100,0.5700,0.5700,0.4900,0.7200,0.5600,0.5500,0.4800,0.5000,0.5200,0.6000,0.5000,0.5400,0.6300
0d2fce0f-3df8-4dfd-85a9-81e4ffaccdf8,"What is something unique, that other people might not think about, but that you really want to be true about the future? Choose one thing, and be as specific and objective as possible.","I really hope we as a species become more societally consciousness. That the ""leading"" countries of the world gain a sense of empathy and understanding for their shameful histories and how they conduct themselves.",0.4700,0.5500,0.6100,0.5000,0.5300,0.6200,0.5900,0.4700,0.6000,0.5100,0.5600,0.5500,0.6200,0.6100,0.5300,0.5500,0.5200,0.5200,0.5300,0.5500,0.5400,0.5300,0.5800,0.5000,0.5400,0.5300,0.5100,0.5400,0.4800,0.5200,0.5100,0.5900,0.4900,0.5600,0.5000,0.5000,0.5300,0.5100,0.5000,0.6500,0.5300,0.5800,0.5300
0d2fce0f-3df8-4dfd-85a9-81e4ffaccdf8,"What is something unique, that other people might not think about, but that you really want to be true about the future? Choose one thing, and be as specific and objective as possible.",People will understand their mind better and act in a kind and empathy way.,0.4600,0.5800,0.5700,0.5600,0.5300,0.6700,0.5300,0.5500,0.6600,0.4600,0.5700,0.6400,0.6900,0.6700,0.6300,0.5600,0.5500,0.5300,0.5800,0.5000,0.5600,0.5500,0.6300,0.5700,0.5400,0.5600,0.5000,0.5600,0.4800,0.5800,0.4900,0.5800,0.5200,0.5600,0.7500,0.6000,0.5100,0.5100,0.4900,0.5000,0.4700,0.5600,0.5500
0d2fce0f-3df8-4dfd-85a9-81e4ffaccdf8,"What is something unique, that other people might not think about, but that you really want to be true about the future? Choose one thing, and be as specific and objective as possible.","I hope that animal welfare can be greatly improved. No more stray animals will be harmed. The cost of pet medical treatment will be greatly reduced, and everyone can take their sick pets to the doctor in time.",0.4600,0.5400,0.5700,0.5500,0.5300,0.6700,0.6500,0.5400,0.6300,0.4600,0.5600,0.6000,0.6600,0.6700,0.5900,0.5500,0.5500,0.5600,0.5300,0.5000,0.5600,0.5400,0.6600,0.5400,0.5400,0.5300,0.6000,0.5600,0.5200,0.5400,0.4900,0.6000,0.5100,0.6700,0.7500,0.6000,0.5400,0.5300,0.4800,0.5000,0.5700,0.5800,0.5000
0d2fce0f-3df8-4dfd-85a9-81e4ffaccdf8,"What is something unique, that other people might not think about, but that you really want to be true about the future? Choose one thing, and be as specific and objective as possible.","I just want people to be good humans, rather than messing around and backstabbing everyone and betraying. This would make this world a better place.",0.4600,0.5800,0.6100,0.5100,0.5300,0.5700,0.6500,0.4700,0.5300,0.5100,0.5900,0.5900,0.6600,0.6400,0.5900,0.5100,0.5500,0.5600,0.5700,0.5500,0.5400,0.5300,0.6300,0.5500,0.5200,0.5400,0.5000,0.5400,0.5200,0.5200,0.5700,0.5500,0.5200,0.6100,0.6300,0.5500,0.5100,0.4600,0.5400,0.5500,0.4700,0.5000,0.6600
0d2fce0f-3df8-4dfd-85a9-81e4ffaccdf8,"What is something unique, that other people might not think about, but that you really want to be true about the future? Choose one thing, and be as specific and objective as possible.",Increased moral values of people. It can be solved many problems in the world,0.4600,0.6100,0.6100,0.5100,0.5100,0.5700,0.5900,0.5000,0.5600,0.4900,0.5500,0.6200,0.5500,0.5200,0.6300,0.5200,0.5300,0.5000,0.6100,0.6000,0.5400,0.5200,0.6300,0.5300,0.5200,0.5300,0.4800,0.5400,0.5500,0.5300,0.5400,0.5400,0.4800,0.5000,0.5600,0.6000,0.4600,0.5100,0.4900,0.5500,0.5000,0.5200,0.6300
0d2fce0f-3df8-4dfd-85a9-81e4ffaccdf8,"What is something unique, that other people might not think about, but that you really want to be true about the future? Choose one thing, and be as specific and objective as possible.","Let mental and physical health have a better aim to be solved, especially mental health

",0.4600,0.5600,0.4600,0.5100,0.5200,0.4800,0.4700,0.5100,0.6000,0.5100,0.5300,0.5800,0.5700,0.5200,0.5900,0.4900,0.5500,0.5100,0.5900,0.5000,0.5400,0.5100,0.5900,0.5300,0.5200,0.5300,0.5200,0.5200,0.5200,0.5300,0.5100,0.5300,0.4900,0.5600,0.6300,0.6000,0.4600,0.5000,0.5000,0.5000,0.4700,0.5200,0.5300
0d2fce0f-3df8-4dfd-85a9-81e4ffaccdf8,"What is something unique, that other people might not think about, but that you really want to be true about the future? Choose one thing, and be as specific and objective as possible.","The environment becomes more comfortable, no need to turn on air conditioning",0.4600,0.5500,0.5700,0.5300,0.4900,0.5700,0.7100,0.5100,0.4700,0.4600,0.5600,0.5900,0.6700,0.5800,0.5900,0.5200,0.5300,0.5200,0.5400,0.5000,0.5300,0.5200,0.5500,0.5300,0.5200,0.5300,0.5400,0.5100,0.5800,0.5100,0.5100,0.5500,0.5200,0.5000,0.5000,0.5000,0.5200,0.4600,0.5000,0.5000,0.5300,0.4600,0.5300
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,What are the first decisions in your life that you would delegate to an AI?,"food security: by use of urban planning and use of remote sensing skills ,it will be easier for the government to do mapping of areas with potential agricultural productivity.AI will therefore form the basis of my decision on agricultural productivity",0.5300,0.5800,0.6800,0.6200,0.5700,0.6800,0.5300,0.6100,0.5900,0.5400,0.5900,0.6100,0.5800,0.6300,0.6000,0.5800,0.6100,0.5900,0.5500,0.7400,0.6300,0.5600,0.6300,0.6100,0.5900,0.5900,0.5500,0.6200,0.7000,0.6300,0.5600,0.5700,0.5700,0.5800,0.7800,0.6000,0.6700,0.5800,0.5600,0.7000,0.6300,0.6000,0.5900
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,What are the first decisions in your life that you would delegate to an AI?,"When looking for a navigation route, I will choose the route calculated by the artificial intelligence.",0.5200,0.5400,0.5200,0.6100,0.5900,0.6400,0.5300,0.6000,0.6200,0.6900,0.6000,0.6100,0.5300,0.6300,0.6000,0.6000,0.6200,0.5500,0.5500,0.5700,0.6200,0.5700,0.6500,0.5800,0.6000,0.6000,0.5500,0.6100,0.5200,0.6300,0.5900,0.5800,0.5900,0.5300,0.7200,0.5500,0.5900,0.5900,0.6000,0.6100,0.5600,0.5500,0.6400
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,What are the first decisions in your life that you would delegate to an AI?,A futures AI will come best quality in live easy and cheaper task,0.5200,0.5900,0.6500,0.5800,0.5900,0.6400,0.5300,0.5600,0.5500,0.6600,0.5900,0.5900,0.5600,0.5700,0.5900,0.5700,0.6200,0.5700,0.5700,0.6100,0.6400,0.5500,0.5900,0.5900,0.5900,0.6000,0.5200,0.5900,0.6100,0.6100,0.6000,0.5600,0.5700,0.6800,0.7800,0.5500,0.6400,0.6000,0.6000,0.7000,0.5600,0.6200,0.5900
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,What are the first decisions in your life that you would delegate to an AI?,I can make a diet program from artificial intelligence,0.5100,0.5900,0.6800,0.6200,0.5800,0.6800,0.5300,0.6000,0.5700,0.5100,0.5900,0.5700,0.5500,0.6600,0.5500,0.5900,0.6100,0.5600,0.5600,0.6100,0.6200,0.5700,0.6700,0.6000,0.5900,0.5900,0.5200,0.6200,0.5800,0.6300,0.5400,0.5700,0.5800,0.5800,0.8300,0.5500,0.6900,0.6600,0.5600,0.6500,0.6300,0.5600,0.6900
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,What are the first decisions in your life that you would delegate to an AI?,Having an AI to come up with a product description for the next thing I'm going to sell online. ,0.5000,0.6100,0.7400,0.6200,0.5800,0.7300,0.5900,0.6000,0.6400,0.5400,0.6000,0.6300,0.5000,0.6600,0.6200,0.5800,0.6300,0.5900,0.5600,0.6500,0.6200,0.5900,0.6700,0.6200,0.5900,0.6000,0.5500,0.6300,0.7000,0.6400,0.5100,0.5900,0.6000,0.5800,0.8300,0.5000,0.6600,0.6400,0.5400,0.7400,0.6900,0.6000,0.7200
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,What are the first decisions in your life that you would delegate to an AI?,I would delegate to an AI any task that can be automated and performed repeatedly.,0.5000,0.5700,0.5800,0.6300,0.6000,0.6800,0.6500,0.6100,0.6200,0.6000,0.5900,0.6100,0.5300,0.6300,0.6000,0.6100,0.6100,0.6100,0.5600,0.5200,0.6400,0.5700,0.6200,0.6200,0.6000,0.6100,0.5500,0.6100,0.6100,0.6300,0.6100,0.5900,0.5600,0.5800,0.7200,0.5000,0.6100,0.5800,0.5900,0.7400,0.6600,0.6200,0.6200
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,What are the first decisions in your life that you would delegate to an AI?,To analyze my health data for me to enhance my healthy continouosly. I also really need AI to help me on my complex data job for speed and accuracy to save my time.,0.5000,0.5800,0.6500,0.6100,0.6000,0.6400,0.5300,0.6000,0.6200,0.6600,0.6000,0.6100,0.5000,0.6600,0.6000,0.6000,0.6200,0.5900,0.5500,0.6100,0.6300,0.5800,0.6600,0.6000,0.6000,0.6100,0.5600,0.6100,0.5200,0.6400,0.6100,0.5800,0.5900,0.5300,0.7200,0.5000,0.6300,0.6200,0.5800,0.6500,0.6300,0.6000,0.6700
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,What are the first decisions in your life that you would delegate to an AI?,I would definitely rely on AI to solve my tasks. ,0.5000,0.5300,0.5500,0.6000,0.6100,0.6400,0.5300,0.5700,0.6400,0.6300,0.5900,0.6100,0.5200,0.6600,0.6100,0.6200,0.6100,0.5800,0.5200,0.5200,0.6300,0.5800,0.6300,0.6000,0.6000,0.6000,0.5800,0.6100,0.5200,0.6200,0.6200,0.6000,0.5800,0.5300,0.7200,0.5000,0.6100,0.6200,0.6100,0.7400,0.5600,0.5500,0.6700
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,What are the first decisions in your life that you would delegate to an AI?,"Handling scheduling, managing emails, and organizing data, which are repetitive and can be efficiently managed by AI. Searching for and summarizing information, such as finding research papers, news updates, or technical documentation, to streamline access to relevant data.",0.5000,0.5900,0.6500,0.6000,0.6100,0.6400,0.5300,0.5800,0.6500,0.6000,0.5900,0.5900,0.5500,0.6000,0.5800,0.6000,0.6200,0.5600,0.5700,0.6100,0.6400,0.5700,0.6300,0.6000,0.6000,0.6000,0.5600,0.6100,0.6400,0.6200,0.5900,0.6000,0.5700,0.6300,0.7800,0.5000,0.6400,0.5900,0.6000,0.7400,0.5600,0.6200,0.6700
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,What are the first decisions in your life that you would delegate to an AI?,"I would delegate my health record to an AI, so that it can bring all my health problems, lab tests together. So it can create an overview where my problems are or could be in the future and give me a medical plan to counterbalance these problems.
And it could compare my health record to the newest medical advancements.",0.5000,0.5900,0.6800,0.6100,0.5800,0.6800,0.5900,0.5800,0.5700,0.6300,0.6200,0.6100,0.5500,0.6900,0.6000,0.5800,0.6200,0.5900,0.5600,0.6500,0.6200,0.5800,0.6500,0.6100,0.5900,0.5900,0.5500,0.6200,0.6100,0.6300,0.5900,0.5500,0.6200,0.5300,0.8300,0.5000,0.6400,0.6000,0.5900,0.7000,0.6300,0.5500,0.7200
0f541814-99f4-46bb-8a9a-99332e54a800,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,technology keeps changing,0.4900,0.6200,0.5500,0.5600,0.5600,0.7400,0.5600,0.5700,0.6100,0.5400,0.5600,0.6000,0.5200,0.5900,0.5800,0.5500,0.5200,0.6500,0.6500,0.5200,0.5700,0.5500,0.6800,0.5500,0.5500,0.5500,0.5500,0.5800,0.5300,0.5400,0.5700,0.5700,0.5600,0.5700,0.5000,0.5000,0.4900,0.5300,0.5400,0.5200,0.5600,0.5600,0.6500
0f541814-99f4-46bb-8a9a-99332e54a800,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,"In 30 years, I imagine a life heavily impacted by the weather. I live in a tropical country and typhoons are getting stronger recently. With the current trend, I imagine El Niño and La Niña to get worse. On the bright side, I do think that AI, and technology in general, will significantly help people do their menial tasks so that people can have more time with their families. However, I do worry for the future generation which heavily relies on AI for their assignments. No retention of knowledge",0.4800,0.5800,0.5200,0.5400,0.5400,0.5700,0.5000,0.5400,0.5600,0.5700,0.5300,0.5600,0.5200,0.6200,0.5500,0.5500,0.5100,0.5700,0.6100,0.5200,0.5500,0.5300,0.6100,0.5300,0.5300,0.5400,0.5400,0.5300,0.5300,0.5400,0.5300,0.5500,0.5300,0.4800,0.5000,0.5000,0.5100,0.6300,0.5100,0.4800,0.5000,0.5300,0.5300
0f541814-99f4-46bb-8a9a-99332e54a800,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,"I think many more things will be automated and use AI. Examples going to the doctor, hospital etc. Food choices may vary from region to region and it will be a lot hotter and wetter.",0.4700,0.6000,0.5500,0.5500,0.5700,0.5700,0.5600,0.5400,0.5600,0.5100,0.5300,0.5600,0.5500,0.6700,0.5700,0.5500,0.5300,0.6000,0.6200,0.5600,0.5600,0.5500,0.6200,0.5500,0.5500,0.5600,0.5900,0.5400,0.5000,0.5400,0.5800,0.5500,0.5700,0.5200,0.5000,0.5000,0.5400,0.6100,0.5500,0.5200,0.4700,0.5600,0.5500
0f541814-99f4-46bb-8a9a-99332e54a800,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,"I IMAGINE A VERY STRONG CLIMATE CHANGE, LESS JOBS DUE TO THE IMPLEMENTATION OF ARTIFICIAL INTELLIGENCES AND MANY TECHNOLOGICAL ADVANCES",0.4700,0.6100,0.5800,0.5600,0.5500,0.7000,0.5600,0.5400,0.5700,0.5700,0.5400,0.5900,0.5400,0.6400,0.5800,0.5500,0.5400,0.5800,0.6200,0.5600,0.5700,0.5400,0.6400,0.5500,0.5400,0.5600,0.5300,0.5500,0.5300,0.5500,0.5600,0.5600,0.5600,0.4800,0.5000,0.5500,0.4700,0.6000,0.5400,0.6500,0.5000,0.5300,0.5800
0f541814-99f4-46bb-8a9a-99332e54a800,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,"All most all things are automized like driverless cars, medicine and installation of chips on human brain (I think now only it started, it is implanted to two people). There will food scarcity due to all the people almost living in urban areas for the comfort and opportunities there will be limited people cultivating. There is much scope like various virus may attack on human beings ",0.4700,0.5900,0.5200,0.5600,0.5500,0.6500,0.5000,0.5500,0.5900,0.5700,0.5400,0.5600,0.5500,0.5900,0.5500,0.5500,0.5300,0.5700,0.6200,0.5200,0.5700,0.5300,0.6500,0.5400,0.5400,0.5600,0.5100,0.5400,0.5300,0.5500,0.5400,0.5600,0.5500,0.5200,0.5000,0.5000,0.4900,0.6100,0.5200,0.6100,0.4700,0.5600,0.5800
0f541814-99f4-46bb-8a9a-99332e54a800,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,"Advances in technology and medicine

",0.4500,0.6300,0.6400,0.5400,0.5500,0.7800,0.6100,0.5400,0.5700,0.6900,0.5800,0.5900,0.4900,0.5900,0.5700,0.5300,0.5300,0.6300,0.6200,0.5200,0.5700,0.5500,0.5700,0.5400,0.5600,0.5600,0.5200,0.5700,0.5300,0.5500,0.5800,0.5500,0.5500,0.5700,0.6100,0.4500,0.5300,0.4900,0.5700,0.5200,0.7500,0.5100,0.5300
0f541814-99f4-46bb-8a9a-99332e54a800,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,"Artificial intelligence will replace most entry-level jobs. New technologies will solve problems such as environmental pollution and food and water shortages. Humans may no longer need food to survive, but can take supplements. The life expectancy of the population will increase.",0.4500,0.5900,0.4800,0.5500,0.5700,0.5700,0.5600,0.5400,0.5900,0.4900,0.5300,0.5700,0.5500,0.6200,0.5700,0.5500,0.5300,0.5900,0.6400,0.4800,0.5600,0.5400,0.6300,0.5400,0.5500,0.5600,0.5100,0.5400,0.5300,0.5500,0.5300,0.5600,0.5800,0.4800,0.5000,0.4500,0.5000,0.6400,0.5400,0.6100,0.4700,0.5400,0.5800
0f541814-99f4-46bb-8a9a-99332e54a800,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,I would imagine the AI would be put in more use in working environment to replace some of the human forces. We might see more AI generated contents on social media for marketing purposes. Another potential change would be lab-grown meat getting into the market. I would also expect the increased globalization of the whole world due to massive immigration.,0.4500,0.5700,0.4800,0.5800,0.5400,0.6100,0.5600,0.5600,0.5100,0.5100,0.5300,0.5700,0.5400,0.6700,0.5700,0.5600,0.5200,0.6100,0.6000,0.5200,0.5600,0.5500,0.6000,0.5500,0.5500,0.5500,0.5600,0.5400,0.5300,0.5600,0.5500,0.5400,0.5600,0.5200,0.5000,0.4500,0.5500,0.5800,0.5400,0.6100,0.4700,0.5600,0.5800
0f541814-99f4-46bb-8a9a-99332e54a800,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,"More things might be automated, at the rate of which Gen AI or generally AI, is developing, sooner or later, things will be simplified.


AI/automation is the future, more jobs might be at stake, companies will profit from it, capitalism will thrive. But on the other hand, the job market in a general way, might be restricted.



With technology developing fastly aside, normal human life might become more and more difficult to live due to climate change. ",0.4500,0.5400,0.4800,0.5800,0.5400,0.6500,0.5600,0.5700,0.5300,0.4900,0.5100,0.5600,0.5100,0.6400,0.5500,0.5700,0.5200,0.6000,0.5600,0.5200,0.5600,0.5400,0.6100,0.5300,0.5500,0.5500,0.5200,0.5700,0.5600,0.5500,0.5500,0.5400,0.5700,0.5200,0.5000,0.4500,0.5800,0.6000,0.5300,0.6100,0.5000,0.5100,0.5800
0f541814-99f4-46bb-8a9a-99332e54a800,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,"I imagine that in the future many of the daily tasks and basic services will be performed by robots or machines with artificial intelligence, which will help to have a better lifestyle. I want to believe that humans will have more time and medical advances will give us better health.",0.4500,0.5700,0.5500,0.5700,0.5500,0.6500,0.5600,0.5700,0.5500,0.4600,0.5100,0.5700,0.5200,0.6400,0.5700,0.5600,0.5300,0.5800,0.5800,0.5600,0.5500,0.5500,0.6200,0.5200,0.5500,0.5400,0.5300,0.5700,0.5600,0.5500,0.5400,0.5500,0.5600,0.5700,0.5000,0.4500,0.5600,0.6000,0.5300,0.5200,0.5000,0.5400,0.5800
